,live_in_super,age_of_building,average_tenant_age,monthly_average_rent,complaints,traps,log_sq_foot,m,b
222,0,5.9,4.114222554,3.870694438,3,6,1.526953916,6,7
223,0,5.9,4.114222554,3.870694438,0,7,1.526953916,7,7
224,0,5.9,4.114222554,3.870694438,2,6,1.526953916,8,7
225,0,5.9,4.114222554,3.870694438,20,6,1.526953916,9,7
226,0,5.9,4.114222554,3.870694438,7,6,1.526953916,10,7
227,0,5.9,4.114222554,3.870694438,4,6,1.526953916,11,7
228,0,5.9,4.114222554,3.870694438,22,6,1.526953916,12,7
229,0,5.9,4.114222554,3.870694438,23,5,1.526953916,13,7
230,0,5.9,4.114222554,3.870694438,51,4,1.526953916,14,7
231,0,5.9,4.114222554,3.870694438,16,4,1.526953916,15,7
232,0,5.9,4.114222554,3.870694438,28,3,1.526953916,16,7
233,0,5.9,4.114222554,3.870694438,41,2,1.526953916,17,7
234,0,5.9,4.114222554,3.870694438,8,1,1.526953916,18,7
235,0,5.9,4.114222554,3.870694438,25,2,1.526953916,19,7
236,0,5.9,4.114222554,3.870694438,27,3,1.526953916,20,7
237,0,5.9,4.114222554,3.870694438,48,3,1.526953916,21,7
238,0,5.9,4.114222554,3.870694438,71,4,1.526953916,22,7
239,0,5.9,4.114222554,3.870694438,57,4,1.526953916,23,7
240,0,5.9,4.114222554,3.870694438,47,3,1.526953916,24,7
241,0,5.9,4.114222554,3.870694438,29,2,1.526953916,25,7
242,0,5.9,4.114222554,3.870694438,77,1,1.526953916,26,7
243,0,5.9,4.114222554,3.870694438,22,2,1.526953916,27,7
244,0,5.9,4.114222554,3.870694438,64,1,1.526953916,28,7
245,0,5.9,4.114222554,3.870694438,12,2,1.526953916,29,7
246,0,5.9,4.114222554,3.870694438,25,1,1.526953916,30,7
247,0,5.9,4.114222554,3.870694438,53,0,1.526953916,31,7
248,0,5.9,4.114222554,3.870694438,40,0,1.526953916,32,7
249,0,5.9,4.114222554,3.870694438,104,0,1.526953916,33,7
250,0,5.9,4.114222554,3.870694438,46,0,1.526953916,34,7
251,0,5.9,4.114222554,3.870694438,14,0,1.526953916,35,7
252,0,5.9,4.114222554,3.870694438,37,1,1.526953916,36,7
253,1,4.8,6.518269176,3.863657544,0,8,0.9727560188,1,8
254,1,4.8,6.518269176,3.863657544,0,7,0.9727560188,2,8
255,1,4.8,6.518269176,3.863657544,0,8,0.9727560188,3,8
256,1,4.8,6.518269176,3.863657544,0,8,0.9727560188,4,8
257,1,4.8,6.518269176,3.863657544,0,8,0.9727560188,5,8
258,1,4.8,6.518269176,3.863657544,0,7,0.9727560188,6,8
259,1,4.8,6.518269176,3.863657544,0,7,0.9727560188,7,8
260,1,4.8,6.518269176,3.863657544,0,6,0.9727560188,8,8
261,1,4.8,6.518269176,3.863657544,1,5,0.9727560188,9,8
262,1,4.8,6.518269176,3.863657544,0,5,0.9727560188,10,8
263,1,4.8,6.518269176,3.863657544,0,4,0.9727560188,11,8
264,1,4.8,6.518269176,3.863657544,3,4,0.9727560188,12,8
265,1,4.8,6.518269176,3.863657544,1,5,0.9727560188,13,8
266,1,4.8,6.518269176,3.863657544,2,6,0.9727560188,14,8
267,1,4.8,6.518269176,3.863657544,0,7,0.9727560188,15,8
268,1,4.8,6.518269176,3.863657544,0,6,0.9727560188,16,8
269,1,4.8,6.518269176,3.863657544,0,7,0.9727560188,17,8
270,1,4.8,6.518269176,3.863657544,0,6,0.9727560188,18,8
271,1,4.8,6.518269176,3.863657544,1,6,0.9727560188,19,8
272,1,4.8,6.518269176,3.863657544,0,6,0.9727560188,20,8
273,1,4.8,6.518269176,3.863657544,0,7,0.9727560188,21,8
274,1,4.8,6.518269176,3.863657544,0,7,0.9727560188,22,8
275,1,4.8,6.518269176,3.863657544,0,7,0.9727560188,23,8
276,1,4.8,6.518269176,3.863657544,0,8,0.9727560188,24,8
277,1,4.8,6.518269176,3.863657544,0,7,0.9727560188,25,8
278,1,4.8,6.518269176,3.863657544,0,7,0.9727560188,26,8
279,1,4.8,6.518269176,3.863657544,1,8,0.9727560188,27,8
280,1,4.8,6.518269176,3.863657544,0,7,0.9727560188,28,8
281,1,4.8,6.518269176,3.863657544,1,8,0.9727560188,29,8
282,1,4.8,6.518269176,3.863657544,0,7,0.9727560188,30,8
283,1,4.8,6.518269176,3.863657544,0,7,0.9727560188,31,8
284,1,4.8,6.518269176,3.863657544,0,7,0.9727560188,32,8
285,1,4.8,6.518269176,3.863657544,3,7,0.9727560188,33,8
286,1,4.8,6.518269176,3.863657544,0,7,0.9727560188,34,8
287,1,4.8,6.518269176,3.863657544,0,8,0.9727560188,35,8
288,1,4.8,6.518269176,3.863657544,0,8,0.9727560188,36,8
289,0,6,5.845573399,3.840237746,0,7,0.6532008404,1,9
290,0,6,5.845573399,3.840237746,2,8,0.6532008404,2,9
291,0,6,5.845573399,3.840237746,0,7,0.6532008404,3,9
292,0,6,5.845573399,3.840237746,4,8,0.6532008404,4,9
293,0,6,5.845573399,3.840237746,0,7,0.6532008404,5,9
294,0,6,5.845573399,3.840237746,2,8,0.6532008404,6,9
295,0,6,5.845573399,3.840237746,0,8,0.6532008404,7,9
296,0,6,5.845573399,3.840237746,2,7,0.6532008404,8,9
297,0,6,5.845573399,3.840237746,1,7,0.6532008404,9,9
298,0,6,5.845573399,3.840237746,0,7,0.6532008404,10,9
299,0,6,5.845573399,3.840237746,3,8,0.6532008404,11,9
300,0,6,5.845573399,3.840237746,0,9,0.6532008404,12,9
301,0,6,5.845573399,3.840237746,8,8,0.6532008404,13,9
302,0,6,5.845573399,3.840237746,16,8,0.6532008404,14,9
303,0,6,5.845573399,3.840237746,3,9,0.6532008404,15,9
304,0,6,5.845573399,3.840237746,6,10,0.6532008404,16,9
305,0,6,5.845573399,3.840237746,7,9,0.6532008404,17,9
306,0,6,5.845573399,3.840237746,5,8,0.6532008404,18,9
307,0,6,5.845573399,3.840237746,10,8,0.6532008404,19,9
308,0,6,5.845573399,3.840237746,3,7,0.6532008404,20,9
309,0,6,5.845573399,3.840237746,5,7,0.6532008404,21,9
310,0,6,5.845573399,3.840237746,15,8,0.6532008404,22,9
311,0,6,5.845573399,3.840237746,7,8,0.6532008404,23,9
312,0,6,5.845573399,3.840237746,6,9,0.6532008404,24,9
313,0,6,5.845573399,3.840237746,3,10,0.6532008404,25,9
314,0,6,5.845573399,3.840237746,6,11,0.6532008404,26,9
315,0,6,5.845573399,3.840237746,8,12,0.6532008404,27,9
316,0,6,5.845573399,3.840237746,6,13,0.6532008404,28,9
317,0,6,5.845573399,3.840237746,3,13,0.6532008404,29,9
318,0,6,5.845573399,3.840237746,4,14,0.6532008404,30,9
319,0,6,5.845573399,3.840237746,9,13,0.6532008404,31,9
320,0,6,5.845573399,3.840237746,17,13,0.6532008404,32,9
321,0,6,5.845573399,3.840237746,9,13,0.6532008404,33,9
322,0,6,5.845573399,3.840237746,2,13,0.6532008404,34,9
323,0,6,5.845573399,3.840237746,7,12,0.6532008404,35,9
324,0,6,5.845573399,3.840237746,6,13,0.6532008404,36,9
325,1,3.9,4.213823992,3.785183548,0,5,1.779201438,1,10
326,1,3.9,4.213823992,3.785183548,0,6,1.779201438,2,10
327,1,3.9,4.213823992,3.785183548,0,6,1.779201438,3,10
328,1,3.9,4.213823992,3.785183548,1,5,1.779201438,4,10
329,1,3.9,4.213823992,3.785183548,0,6,1.779201438,5,10
330,1,3.9,4.213823992,3.785183548,0,7,1.779201438,6,10
331,1,3.9,4.213823992,3.785183548,0,6,1.779201438,7,10
332,1,3.9,4.213823992,3.785183548,0,7,1.779201438,8,10
333,1,3.9,4.213823992,3.785183548,0,8,1.779201438,9,10
334,1,3.9,4.213823992,3.785183548,1,8,1.779201438,10,10
335,1,3.9,4.213823992,3.785183548,0,9,1.779201438,11,10
336,1,3.9,4.213823992,3.785183548,0,10,1.779201438,12,10
337,1,3.9,4.213823992,3.785183548,0,10,1.779201438,13,10
338,1,3.9,4.213823992,3.785183548,0,11,1.779201438,14,10
339,1,3.9,4.213823992,3.785183548,0,12,1.779201438,15,10
340,1,3.9,4.213823992,3.785183548,0,12,1.779201438,16,10
341,1,3.9,4.213823992,3.785183548,0,11,1.779201438,17,10
342,1,3.9,4.213823992,3.785183548,0,12,1.779201438,18,10
343,1,3.9,4.213823992,3.785183548,0,13,1.779201438,19,10
344,1,3.9,4.213823992,3.785183548,0,12,1.779201438,20,10
345,1,3.9,4.213823992,3.785183548,0,11,1.779201438,21,10
346,1,3.9,4.213823992,3.785183548,0,12,1.779201438,22,10
347,1,3.9,4.213823992,3.785183548,0,12,1.779201438,23,10
348,1,3.9,4.213823992,3.785183548,0,11,1.779201438,24,10
349,1,3.9,4.213823992,3.785183548,0,12,1.779201438,25,10
350,1,3.9,4.213823992,3.785183548,0,13,1.779201438,26,10
351,1,3.9,4.213823992,3.785183548,0,14,1.779201438,27,10
352,1,3.9,4.213823992,3.785183548,0,13,1.779201438,28,10
353,1,3.9,4.213823992,3.785183548,1,14,1.779201438,29,10
354,1,3.9,4.213823992,3.785183548,0,13,1.779201438,30,10
355,1,3.9,4.213823992,3.785183548,0,12,1.779201438,31,10
356,1,3.9,4.213823992,3.785183548,0,12,1.779201438,32,10
357,1,3.9,4.213823992,3.785183548,0,13,1.779201438,33,10
358,1,3.9,4.213823992,3.785183548,0,14,1.779201438,34,10
359,1,3.9,4.213823992,3.785183548,0,15,1.779201438,35,10
360,1,3.9,4.213823992,3.785183548,0,16,1.779201438,36,10
