,mus,building_id,wk_ind,date,traps,floors,sq_footage_p_floor,live_in_super,monthly_average_rent,average_tenant_age,age_of_building,total_sq_foot,month,complaints
99,0.3611102358,62,3,2017-03-16,6,4,4804.204982,0,3840.237746,58.45573399,60,19216.81993,3,0
100,0.2588183268,62,4,2017-04-15,7,4,4804.204982,0,3840.237746,58.45573399,60,19216.81993,4,2
101,0.6318424486,62,5,2017-05-15,8,4,4804.204982,0,3840.237746,58.45573399,60,19216.81993,5,4
102,0.6219317152,62,6,2017-06-14,8,4,4804.204982,0,3840.237746,58.45573399,60,19216.81993,6,0
103,0.9540777015,62,7,2017-07-14,8,4,4804.204982,0,3840.237746,58.45573399,60,19216.81993,7,1
104,0.5828380479,62,8,2017-08-13,9,4,4804.204982,0,3840.237746,58.45573399,60,19216.81993,8,3
105,0.4384212805,62,9,2017-09-12,8,4,4804.204982,0,3840.237746,58.45573399,60,19216.81993,9,1
106,0.3936717195,62,10,2017-10-12,7,4,4804.204982,0,3840.237746,58.45573399,60,19216.81993,10,0
107,0.09246676668,62,11,2017-11-11,8,4,4804.204982,0,3840.237746,58.45573399,60,19216.81993,11,1
108,0.02840711554,62,12,2017-12-11,8,4,4804.204982,0,3840.237746,58.45573399,60,19216.81993,12,0
109,0.4128576498,98,1,2017-01-15,7,13,4557.786883,1,3785.183548,42.13823992,39,59251.22948,1,0
110,0.1428999529,98,2,2017-02-14,8,13,4557.786883,1,3785.183548,42.13823992,39,59251.22948,2,0
111,0.5420951019,98,3,2017-03-16,7,13,4557.786883,1,3785.183548,42.13823992,39,59251.22948,3,4
112,0.8663338875,98,4,2017-04-15,6,13,4557.786883,1,3785.183548,42.13823992,39,59251.22948,4,0
113,1.405709569,98,5,2017-05-15,6,13,4557.786883,1,3785.183548,42.13823992,39,59251.22948,5,7
114,1.65597797,98,6,2017-06-14,5,13,4557.786883,1,3785.183548,42.13823992,39,59251.22948,6,5
115,2.248303091,98,7,2017-07-14,4,13,4557.786883,1,3785.183548,42.13823992,39,59251.22948,7,3
116,2.303594132,98,8,2017-08-13,3,13,4557.786883,1,3785.183548,42.13823992,39,59251.22948,8,6
117,2.253004939,98,9,2017-09-12,2,13,4557.786883,1,3785.183548,42.13823992,39,59251.22948,9,16
118,2.041903818,98,10,2017-10-12,2,13,4557.786883,1,3785.183548,42.13823992,39,59251.22948,10,5
119,1.907050426,98,11,2017-11-11,2,13,4557.786883,1,3785.183548,42.13823992,39,59251.22948,11,5
120,2.103169909,98,12,2017-12-11,1,13,4557.786883,1,3785.183548,42.13823992,39,59251.22948,12,16
